warm,autism1,gmo1,ftblack,ftwhite,fthisp,ftasian,ftmuslim
1,1,2,99,99,99,100,88
1,2,1,91,96,92,93,93
1,2,1,48,49,49,49,50
1,-1,-1,0,0,0,0,0
1,-1,-1,93,94,94,94,50
1,-1,-1,87,69,80,61,70
1,-1,-1,98,85,97,98,98
1,2,1,73,75,76,76,79
1,1,2,0,100,36,69,6
1,2,1,80,81,81,80,80
1,2,1,75,71,81,70,75
2,1,1,72,93,30,80,5
2,1,1,69,21,51,47,70
2,-1,-1,90,90,90,90,11
2,-1,-1,100,89,89,81,63
1,1,1,13,26,89,17,13
1,2,2,51,51,54,50,50
2,2,2,96,81,82,100,63
2,2,1,75,94,85,99,10
1,2,1,94,51,73,52,70
1,1,2,79,80,80,78,79
1,-1,-1,42,79,51,61,3
1,-1,-1,71,85,84,70,40
1,2,1,85,85,86,86,86
1,-1,-1,94,96,94,84,75
1,-1,-1,53,52,53,50,51
1,2,2,90,90,90,100,50
1,-1,-1,51,52,50,46,45
2,-1,-1,41,41,31,40,50
1,1,2,98,41,16,69,3
1,-1,-1,59,69,59,59,59
1,-1,-1,100,100,100,100,100
1,-1,-1,100,100,100,100,100
2,2,1,69,82,79,95,30
1,-1,-1,48,63,47,54,45
2,-1,-1,82,91,50,49,50
2,-1,-1,61,99,50,0,0
1,-1,-1,50,50,50,50,33
1,-1,-1,50,50,50,50,50
1,2,2,50,88,60,53,50
1,-1,-1,72,74,68,72,67
1,-1,-1,93,100,98,88,34
1,-1,-1,34,59,38,48,20
2,-1,-1,90,90,90,91,17
1,2,2,51,48,48,68,10
1,-1,-1,98,96,97,89,73
2,2,2,71,71,71,71,41
2,-1,-1,50,50,50,50,50
1,-1,-1,71,71,71,70,69
1,2,2,84,86,81,84,81
2,2,1,90,90,81,80,41
1,-1,-1,72,80,80,80,70
1,-1,-1,51,50,50,51,6
1,-1,-1,53,49,49,52,50
1,-1,-1,51,100,85,71,7
1,-1,-1,90,90,90,96,50
1,-1,-1,50,50,50,50,46
1,1,1,55,85,80,80,10
1,2,1,85,52,79,96,87
1,2,2,70,70,62,59,51
2,1,2,79,100,81,80,2
1,-1,-1,89,89,88,81,81
1,2,1,85,94,88,95,84
1,-1,-1,67,64,71,67,59
1,-1,-1,91,93,93,95,9
1,2,2,90,49,21,50,50
1,2,2,13,98,10,47,1
2,2,1,90,98,89,94,10
1,2,1,38,91,3,21,4
1,-1,-1,35,56,19,33,13
1,2,2,3,72,15,1,1
1,2,2,72,70,64,61,57
1,2,2,89,62,94,83,89
1,-1,-1,92,100,0,75,1
1,2,1,64,96,93,64,17
1,2,1,75,80,70,65,65
1,-1,-1,91,91,91,88,88
2,2,2,28,36,48,41,42
1,-1,-1,50,50,50,50,50
2,1,2,52,54,51,51,12
1,2,1,51,60,41,52,51
1,2,2,100,50,98,61,57
1,-1,-1,68,59,71,67,68
1,-1,-1,63,48,60,52,59
1,2,2,22,50,11,43,19
1,2,2,75,75,75,75,75
1,2,1,54,47,68,52,55
2,2,1,100,100,100,100,100
1,1,2,69,29,33,39,69
1,2,1,50,50,55,80,26
2,-1,-1,49,52,53,54,48
1,2,2,97,97,89,87,0
1,-1,-1,64,76,77,67,56
1,-1,-1,87,43,63,56,43
1,-1,-1,50,50,50,51,50
1,2,1,99,62,68,1,66
1,-1,-1,51,50,51,49,50
1,1,2,67,75,73,83,55
1,-1,-1,42,52,43,76,7
1,-1,-1,100,100,98,99,99
1,-1,-1,61,60,60,61,61
1,1,2,84,67,78,81,62
1,2,1,63,63,64,65,52
1,2,1,55,54,55,55,55
1,1,1,58,58,81,75,48
1,2,1,53,0,44,87,3
1,2,2,99,80,100,99,99
1,-1,-1,86,85,90,85,56
1,2,2,50,59,50,51,52
1,1,2,81,18,86,93,82
2,-1,-1,70,69,50,86,44
1,2,1,94,88,95,94,58
1,1,1,63,80,61,58,38
1,1,2,95,95,95,95,90
1,-1,-1,89,81,88,85,93
1,-1,-1,80,80,80,80,80
2,-1,-1,85,85,85,77,30
1,2,1,91,90,90,90,87
1,2,1,70,61,60,61,51
1,-1,-1,95,99,100,95,95
2,-1,-1,81,88,85,68,16
2,-1,-1,88,88,90,89,40
1,2,2,75,35,16,40,22
1,2,2,71,70,70,70,70
1,2,2,90,90,90,90,41
1,-1,-1,50,50,66,90,50
2,2,1,73,76,75,74,72
1,-1,-1,100,71,100,100,51
1,-1,-1,100,98,99,99,99
1,2,1,100,64,95,100,100
2,2,1,100,100,100,100,51
2,1,1,66,69,64,64,52
2,2,2,100,96,75,75,7
2,2,2,93,93,76,95,72
1,2,2,87,92,90,93,51
1,-1,-1,48,28,54,21,28
1,-1,-1,71,71,71,80,70
1,2,1,36,65,30,58,31
1,-1,-1,83,88,89,85,89
1,2,2,99,100,94,91,95
1,2,2,92,93,93,92,92
1,-1,-1,90,90,81,81,71
-7,-1,-1,75,100,70,90,0
2,1,1,86,87,88,87,1
1,-1,-1,81,89,90,71,43
1,-1,-1,95,95,90,90,31
1,1,2,51,50,50,52,51
2,-1,-1,53,50,40,50,9
1,2,1,70,85,86,86,60
1,2,1,60,72,68,81,41
1,2,2,72,63,74,73,75
1,-1,-1,75,75,75,75,75
2,-1,-1,100,100,100,100,9
1,-1,-1,70,71,71,70,70
2,1,2,90,95,90,81,10
1,-1,-1,50,50,50,50,47
1,-1,-1,99,99,100,98,63
1,-1,-1,80,65,83,91,46
1,-1,-1,91,92,74,62,-7
1,2,2,91,96,91,91,11
1,-1,-1,60,60,60,60,56
1,2,2,66,70,61,70,55
1,2,2,67,84,48,81,37
2,-1,-1,51,50,61,70,1
1,-1,-1,33,69,5,0,6
1,-1,-1,88,56,66,56,5
1,-1,-1,87,87,80,84,80
1,2,1,60,40,70,60,60
2,-1,-1,49,49,30,50,1
1,-1,-1,60,48,52,50,7
1,-1,-1,50,50,50,50,10
1,-1,-1,89,91,91,89,90
1,-1,-1,50,87,39,95,45
1,1,2,99,31,87,63,72
2,-1,-1,51,50,51,51,2
1,2,1,69,63,60,60,61
1,-1,-1,0,50,50,0,50
1,2,1,90,85,90,90,90
1,2,1,88,92,89,86,94
1,-1,-1,47,61,62,69,45
1,2,1,70,86,69,90,21
1,-1,-1,72,77,68,89,44
2,-1,-1,100,100,99,99,6
1,-1,-1,70,18,71,80,0
1,2,1,52,64,69,80,2
2,1,2,51,52,51,51,51
1,2,2,94,67,84,70,75
2,2,1,3,99,40,20,2
1,2,2,70,74,43,32,19
1,2,2,85,85,83,83,83
2,2,1,100,100,100,100,50
1,-1,-1,88,99,1,1,0
1,-1,-1,96,94,92,94,55
1,2,2,68,68,71,73,70
1,2,2,60,81,84,59,78
1,-1,-1,52,52,52,52,52
1,-1,-1,95,47,80,81,60
2,2,2,100,12,68,81,50
1,2,2,94,89,94,91,90
1,-1,-1,45,50,45,29,45
1,2,1,100,100,100,100,100
1,-1,-1,50,50,50,50,50
2,2,1,45,100,40,80,40
1,-1,-1,89,89,90,90,88
1,2,1,100,100,100,100,100
1,-1,-1,58,65,50,51,50
1,2,1,50,50,50,50,50
1,-1,-1,90,90,90,90,90
1,2,1,66,87,79,83,77
2,-1,-1,44,98,43,14,10
1,-1,-1,50,50,50,50,50
2,2,2,100,100,99,100,100
1,2,1,84,84,83,86,81
1,-1,-1,50,50,50,50,50
1,2,1,71,50,71,70,70
1,2,2,85,84,13,89,13
1,-1,-1,41,40,42,41,20
1,2,2,42,100,62,63,40
1,-1,-1,100,100,100,100,100
1,-1,-1,10,73,30,72,12
2,-1,-1,51,51,51,51,51
1,-1,-1,50,50,50,50,40
2,-1,-1,96,50,99,99,37
1,-1,-1,62,71,61,72,40
2,-1,-1,85,72,83,91,92
1,1,2,84,3,99,3,57
1,2,1,90,90,100,90,70
1,2,1,86,88,90,78,80
1,-1,-1,81,50,84,90,52
2,2,1,53,73,63,60,36
1,1,2,31,78,31,11,11
2,2,1,70,98,86,70,0
1,-1,-1,62,80,77,66,59
2,1,1,70,69,68,59,67
2,2,2,96,96,100,94,96
1,-1,-1,50,50,50,50,17
1,2,2,70,85,70,85,31
1,-1,-1,78,89,75,75,50
1,-1,-1,64,53,82,72,47
1,2,1,97,81,100,83,81
1,-1,-1,40,60,60,60,50
1,1,2,50,50,50,50,50
1,2,1,50,50,50,50,50
1,1,2,49,51,22,31,6
1,-1,-1,74,80,74,80,74
2,-1,-1,51,51,49,52,9
2,2,2,50,51,55,51,31
2,-1,-1,84,97,80,90,4
2,-1,-1,62,61,63,70,62
1,2,2,75,79,80,85,23
1,-1,-1,87,84,81,50,49
1,2,1,71,76,65,68,76
1,-1,-1,66,75,40,22,6
1,2,1,50,51,26,46,12
1,-1,-1,74,74,73,74,50
1,2,2,53,86,55,46,54
2,-1,-1,50,76,50,73,41
1,2,2,50,51,49,5,5
1,-1,-1,91,90,89,70,60
1,-1,-1,90,90,90,90,90
1,2,2,50,50,52,51,50
2,-1,-1,100,100,100,100,1
1,2,2,50,50,91,50,40
2,-1,-1,4,100,8,61,3
1,-1,-1,81,81,87,71,75
2,1,2,90,90,90,90,56
1,-1,-1,56,57,55,57,57
1,2,2,70,90,61,63,15
1,-1,-1,99,4,91,41,51
1,-1,-1,94,59,84,86,78
1,-1,-1,100,100,100,100,100
2,1,2,90,51,50,51,50
1,2,2,69,53,22,2,11
1,2,2,50,50,50,50,40
1,-1,-1,51,49,49,56,52
1,2,1,51,51,51,51,51
1,-1,-1,100,100,97,87,94
2,2,2,50,50,50,50,9
1,-1,-1,76,88,55,73,49
1,2,1,98,100,94,99,99
2,-1,-1,50,47,50,45,3
1,2,2,47,46,50,48,48
2,2,2,69,75,67,71,46
2,-1,-1,96,94,97,95,39
1,1,1,62,67,91,61,70
1,-1,-1,87,85,85,84,85
1,2,1,74,50,90,77,92
2,2,2,100,100,26,100,0
1,1,2,99,80,79,76,66
1,-1,-1,96,88,96,96,90
2,-1,-1,88,82,86,87,80
1,2,1,42,33,26,50,20
1,2,1,52,53,52,52,52
2,-1,-1,70,80,68,71,19
2,1,2,88,84,84,87,1
1,-1,-1,98,71,99,100,81
2,2,1,60,90,60,60,30
2,2,1,50,90,59,70,0
2,2,2,90,90,90,90,30
1,2,2,80,90,25,32,12
1,2,2,65,63,64,60,64
1,2,1,50,51,50,7,0
1,-1,-1,100,24,84,68,87
1,1,2,50,51,50,50,50
1,1,2,68,93,50,42,28
1,-1,-1,91,80,78,94,81
1,1,2,100,99,100,100,100
1,-1,-1,100,50,50,50,50
1,2,2,54,57,100,59,50
2,-1,-1,13,99,8,58,6
2,-1,-1,99,99,99,99,99
1,2,2,100,100,100,100,100
1,2,1,0,1,100,100,0
1,-1,-1,51,95,30,95,15
1,-1,-1,100,100,100,100,100
2,2,1,99,100,100,100,50
1,-1,-1,51,53,37,50,0
1,2,1,58,55,88,72,31
2,2,1,59,77,70,83,2
1,-1,-1,70,72,71,71,70
2,-1,-1,48,33,33,27,47
1,2,1,90,98,99,97,25
1,-1,-1,86,86,88,87,78
1,2,1,50,50,50,50,28
2,-1,-1,48,88,1,12,4
1,-1,-1,96,96,100,96,91
2,-1,-1,97,100,86,70,43
1,-1,-1,100,99,100,99,99
1,2,1,99,94,98,99,98
1,-1,-1,91,90,75,81,75
2,2,1,89,87,84,86,51
1,-1,-1,59,71,63,64,32
1,-1,-1,99,88,100,85,88
1,-1,-1,78,75,88,86,81
2,-1,-1,49,51,66,77,11
1,2,1,99,99,94,52,54
1,2,1,99,81,91,85,86
